#Rodadas em cada Jogo
#NRounds Game 
20 1
156 2
290 3
88 4
200 5
124 6
26 7
20 8
126 9
36 10
54 11
112 12
60 13
140 14
102 15
48 16
24 17
10 18
138 19
18 20
38 21
162 22
80 23
16 24
28 25
114 26
162 27
54 28
102 29
32 30
126 31
126 32
394 33
54 34
34 35
140 36
246 37
66 38
182 39
18 40
220 41
78 42
70 43
44 44
60 45
220 46
22 47
154 48
18 49
26 50
142 51
42 52
128 53
130 54
142 55
90 56
266 57
102 58
34 59
38 60
100 61
24 62
28 63
170 64
30 65
20 66
182 67
60 68
88 69
20 70
94 71
94 72
148 73
34 74
436 75
64 76
30 77
128 78
62 79
38 80
30 81
96 82
28 83
54 84
58 85
40 86
126 87
112 88
164 89
234 90
126 91
20 92
76 93
32 94
168 95
136 96
44 97
118 98
76 99
326 100
