#Rodadas em cada Jogo
#NRounds Game 
1400782 1
666424 2
956932 3
515372 4
1372768 5
2657540 6
532538 7
4619648 8
860480 9
543686 10
1503142 11
731532 12
878674 13
2347244 14
968920 15
1588066 16
788766 17
3176338 18
556970 19
1253198 20
825090 21
860390 22
1468710 23
3928114 24
1310330 25
1100262 26
2121634 27
747630 28
516276 29
475432 30
1097338 31
1826200 32
912242 33
1039766 34
1412854 35
3200896 36
669220 37
533600 38
1546848 39
473858 40
1124290 41
465854 42
870318 43
1003620 44
1021624 45
1957688 46
2619012 47
745062 48
272598 49
373340 50
679388 51
1159214 52
396428 53
954446 54
335354 55
140916 56
1091922 57
469534 58
283198 59
340652 60
912198 61
1632858 62
460060 63
1783144 64
232500 65
299436 66
562418 67
251488 68
259918 69
784578 70
478950 71
190024 72
245716 73
627378 74
258360 75
198148 76
785546 77
155750 78
706198 79
875900 80
1558846 81
646036 82
546576 83
361688 84
407200 85
422928 86
376426 87
1124614 88
238086 89
836422 90
726408 91
1242530 92
691708 93
1538578 94
144516 95
1619534 96
1330406 97
472968 98
422062 99
1428724 100
