#Rodadas em cada Jogo
#NRounds Game 
8992 1
29436 2
338714 3
397062 4
217718 5
162040 6
305578 7
24634 8
8498 9
8906 10
42382 11
332642 12
19188 13
79562 14
6506 15
215474 16
15306 17
17032 18
242656 19
4372 20
2674 21
47616 22
224876 23
4560 24
11140 25
362938 26
27484 27
234178 28
7178 29
3784 30
32282 31
14252 32
4872 33
215364 34
6308 35
22858 36
7408 37
10348 38
952348 39
10126 40
439744 41
520352 42
11112 43
382796 44
478052 45
5736 46
6530 47
254616 48
7082 49
68472 50
419988 51
191564 52
2920 53
25688 54
7010 55
3038 56
168906 57
82718 58
728968 59
170744 60
5052 61
2944 62
9654 63
124364 64
20400 65
167716 66
39728 67
4628 68
1984 69
218562 70
146386 71
4390 72
5526 73
8544 74
153268 75
6198 76
2418 77
175018 78
37652 79
8922 80
25134 81
21092 82
27158 83
235746 84
9002 85
13914 86
3544 87
8872 88
8676 89
2790 90
9948 91
703664 92
13988 93
3980 94
10976 95
56548 96
19972 97
330938 98
28546 99
7454 100
